Year,Date,Day,Holiday,Morning Session,Evening Session
2026,01 Jan 2026,Thursday,New Year's Day,Open,Closed
2026,26 Jan 2026,Monday,Republic Day,Closed,Closed
2026,03 Mar 2026,Tuesday,Holi (2nd day),Closed,Open
2026,26 Mar 2026,Thursday,Shri Ram Navmi,Closed,Open
2026,31 Mar 2026,Tuesday,Shri Mahavir Jayanti,Closed,Open
2026,03 Apr 2026,Friday,Good Friday,Closed,Closed
2026,14 Apr 2026,Tuesday,Dr. Baba Saheb Ambedkar Jayanti,Closed,Open
2026,01 May 2026,Friday,Maharashtra Day,Closed,Open
2026,28 May 2026,Thursday,Bakri Id,Closed,Open
2026,26 Jun 2026,Friday,Moharram,Closed,Open
2026,14 Sep 2026,Monday,Ganesh Chaturthi,Closed,Open
2026,02 Oct 2026,Friday,Mahatma Gandhi Jayanti,Closed,Closed
2026,20 Oct 2026,Tuesday,Dassera,Closed,Open
2026,10 Nov 2026,Tuesday,Diwali-Balipratipada,Closed,Open
2026,24 Nov 2026,Tuesday,Guru Nanak Jayanti,Closed,Open
2026,25 Dec 2026,Friday,Christmas,Closed,Closed
2025,01 Jan 2025,Wednesday,New Year's Day,Open,Closed
2025,26 Jan 2025,Sunday,Republic Day,Closed,Closed
2025,26 Feb 2025,Wednesday,Mahashivratri,Closed,Open
2025,14 Mar 2025,Friday,Holi,Closed,Open
2025,31 Mar 2025,Monday,Id-Ul-Fitr (Ramzan Id),Closed,Open
2025,10 Apr 2025,Thursday,Shri Ram Navmi,Closed,Open
2025,14 Apr 2025,Monday,Dr. Baba Saheb Ambedkar Jayanti,Closed,Open
2025,18 Apr 2025,Friday,Good Friday,Closed,Closed
2025,01 May 2025,Thursday,Maharashtra Day,Closed,Open
2025,05 Jun 2025,Thursday,Bakri Id (Id-Ul-Zuha),Closed,Open
2025,15 Aug 2025,Friday,Independence Day,Closed,Closed
2025,02 Oct 2025,Thursday,Mahatma Gandhi Jayanti,Closed,Closed
2025,22 Oct 2025,Wednesday,Diwali-Balipratipada,Closed,Open
2025,05 Nov 2025,Wednesday,Guru Nanak Jayanti,Closed,Open
2025,25 Dec 2025,Thursday,Christmas,Closed,Closed
2024,22 Jan 2024,Monday,Special Holiday,Closed,Open
2024,26 Jan 2024,Friday,Republic Day,Closed,Closed
2024,08 Mar 2024,Friday,Mahashivratri,Closed,Open
2024,25 Mar 2024,Monday,Holi,Closed,Open
2024,29 Mar 2024,Friday,Good Friday,Closed,Closed
2024,11 Apr 2024,Thursday,Id-Ul-Fitr (Ramzan Id),Closed,Open
2024,17 Apr 2024,Wednesday,Shri Ram Navmi,Closed,Open
2024,01 May 2024,Wednesday,Maharashtra Day,Closed,Open
2024,17 Jun 2024,Monday,Bakri Id (Id-Ul-Zuha),Closed,Open
2024,17 Jul 2024,Wednesday,Moharram,Closed,Open
2024,15 Aug 2024,Thursday,Independence Day,Closed,Closed
