holiday,date,day
Mahashivratri,2019-03-04,Monday
Holi,2019-03-21,Thursday
Mahavir Jayanti,2019-04-17,Wednesday
Good Friday,2019-04-19,Friday
General Elections Day – Mumbai,2019-04-29,Monday
Maharashtra Day,2019-05-01,Wednesday
Id-Ul-Fitr (Ramzan Id),2019-06-05,Wednesday
Bakri Id,2019-08-12,Monday
Independence Day,2019-08-15,Thursday
Ganesh Chaturthi,2019-09-02,Monday
Muharram,2019-09-10,Tuesday
Mahatma Gandhi Jayanti,2019-10-02,Wednesday
Dussehra,2019-10-08,Tuesday
Maharashtra Assembly Elections,2019-10-21,Monday
Diwali Balipratipada,2019-10-28,Monday
Gurunanak Jayanti,2019-11-12,Tuesday
Christmas,2019-12-25,Wednesday
Mahashivratri,2020-02-21,Friday
Holi,2020-03-10,Tuesday
Ram Navami,2020-04-02,Thursday
Mahavir Jayanti,2020-04-06,Monday
Good Friday,2020-04-10,Friday
Dr.Baba Saheb Ambedkar Jayanti,2020-04-14,Tuesday
Maharashtra Day,2020-05-01,Friday
Id-Ul-Fitr (Ramzan Id),2020-05-25,Monday
Mahatma Gandhi Jayanti,2020-10-02,Friday
Diwali Balipratipada,2020-11-16,Monday
Gurunanak Jayanti,2020-11-30,Monday
Christmas,2020-12-25,Friday
Republic Day,2021-01-26,Tuesday
Mahashivratri,2021-03-11,Thursday
Holi,2021-03-29,Monday
Good Friday,2021-04-02,Friday
Dr.Baba Saheb Ambedkar Jayanti,2021-04-14,Wednesday
Ram Navami,2021-04-21,Wednesday
Id-Ul-Fitr (Ramzan Id),2021-05-13,Thursday
Bakri Id,2021-07-21,Wednesday
Muharram,2021-08-19,Thursday
Ganesh Chaturthi,2021-09-10,Friday
Dussehra,2021-10-15,Friday
Diwali* Laxmi Puja,2021-11-04,Thursday
Diwali Balipratipada,2021-11-05,Friday
Guru Nanak Jayanti,2021-11-19,Friday
Republic Day,2022-01-26,Wednesday
Mahashivratri,2022-03-01,Tuesday
Holi,2022-03-18,Friday
Dr. Baba Saheb Ambedkar Jayanti/,2022-04-14,Thursday
Good Friday,2022-04-15,Friday
Eid-Ul-Fitr (Ramzan ID),2022-05-03,Tuesday
Moharram,2022-08-09,Tuesday
Independence Day,2022-08-15,Monday
Ganesh Chaturthi,2022-08-31,Wednesday
Dussehra,2022-10-05,Wednesday
Diwali-Laxmi Pujan*,2022-10-24,Monday
Diwali-Balipratipada,2022-10-26,Wednesday
Gurunanak Jayanti,2022-11-08,Tuesday
Republic Day,2023-01-26,Thursday
Holi,2023-03-07,Tuesday
Ram Navami,2023-03-30,Thursday
Mahavir Jayanti,2023-04-04,Tuesday
Good Friday,2023-04-07,Friday
Ambedkar Jayanti,2023-04-14,Friday
Maharashtra Day,2023-05-01,Monday
Bakri Id,2023-06-29,Thursday
Independence Day,2023-08-15,Tuesday
Ganesh Chaturthi,2023-09-19,Tuesday
Gandhi Jayanti,2023-10-02,Monday
Dasara,2023-10-24,Tuesday
Diwali Balipratipada,2023-11-14,Tuesday
Gurunanak Jayanti,2023-11-27,Monday
Christmas,2023-12-25,Monday
Republic Day,2024-01-26,Friday
Mahashivratri,2024-03-08,Friday
Holi,2024-03-25,Monday
Good Friday,2024-03-29,Friday
Id-Ul-Fitr (Ramadan Eid),2024-04-11,Thursday
Shri Ram Navmi,2024-04-17,Wednesday
Maharashtra Day,2024-05-01,Wednesday
Maharashtra Elections,2024-05-20,Monday
Bakri Id,2024-06-17,Monday
Moharram,2024-07-17,Wednesday
Independence Day,2024-08-15,Thursday
Mahatma Gandhi Jayanti,2024-10-02,Wednesday
Diwali Laxmi Pujan*,2024-11-01,Friday
Gurunanak Jayanti,2024-11-15,Friday
Maharashtra Elections,2024-11-20,Wednesday
Christmas,2024-12-25,Wednesday
Maha Shivratri,2025-02-26,Wednesday
Holi,2025-03-14,Friday
Id-ul-Fitr (Ramzan ID),2025-03-31,Monday
Mahavir Jayanti,2025-04-10,Thursday
Dr. Baba Saheb Ambedkar Jayanti,2025-04-14,Monday
Good Friday,2025-04-18,Friday
Maharashtra Day,2025-05-01,Thursday
Independence Day,2025-08-15,Friday
Ganesh Chaturthi,2025-08-27,Wednesday
Dusshera/ Mahatma Gandhi Jayanti,2025-10-02,Thursday
Diwali-Laxmi Pujan,2025-10-21,Tuesday
Diwali-Balipratipada,2025-10-22,Wednesday
Guru Nanak Jayanti,2025-11-05,Wednesday
Christmas,2025-12-25,Thursday
Maharashtra Municipal Elections,2026-01-15,Thursday
Republic Day,2026-01-26,Monday
Holi,2026-03-03,Tuesday
Shri Ram Navami,2026-03-26,Thursday
Shri Mahavir Jayanti,2026-03-31,Tuesday
Good Friday,2026-04-03,Friday
Dr. Baba Saheb Ambedkar Jayanti,2026-04-14,Tuesday
Maharashtra Day,2026-05-01,Friday
Bakri Eid,2026-05-28,Thursday
Moharram,2026-06-26,Friday
Ganesh Chaturthi,2025-09-14,Monday
Mahatma Gandhi Jayanti,2026-10-02,Friday
Dussehra,2026-10-20,Tuesday
Diwali-Balipratipada,2026-11-10,Tuesday
Guru Nanak Jayanti,2026-11-24,Tuesday
Christmas,2026-12-25,Friday
