trade_id,log_file,signal_ts,direction,entry_ts,entry_price,entry_spot,expiry,strike,right,exit_ts,exit_price,exit_reason,hold_min,pnl_pts,pnl_rs,mfe_pts,mfe_pct,mfe_ts,mae_pts,mae_pct,mae_ts,pnl_at_mfe_rs,trail_15_exit_pts,trail_15_exit_rs,trail_15_reason,trail_20_exit_pts,trail_20_exit_rs,trail_20_reason,trail_25_exit_pts,trail_25_exit_rs,trail_25_reason,trail_30_exit_pts,trail_30_exit_rs,trail_30_reason,pnl_rs_40lots
114,trade_0114_2020-01-03_0920_B.csv,2020-01-03 09:15:00,bearish,2020-01-03 09:20:00,176.45,12237.6,2020-01-09,12400,pe,2020-01-03 09:46:00,194.09,profit_target,26,17.65,1147.0,15.45,8.76,2020-01-03 09:46:00,6.45,3.66,2020-01-03 09:23:00,1004.0,17.65,1147.0,profit_target,17.65,1147.0,profit_target,17.65,1147.0,profit_target,17.65,1147.0,profit_target,45890
115,trade_0115_2020-01-03_1150_B.csv,2020-01-03 11:45:00,bearish,2020-01-03 11:50:00,196.0,12225.95,2020-01-09,12400,pe,2020-01-03 12:20:00,204.0,max_hold,30,8.0,520.0,8.9,4.54,2020-01-03 12:00:00,2.2,1.12,2020-01-03 11:53:00,578.0,8.0,520.0,max_hold,8.0,520.0,max_hold,8.0,520.0,max_hold,8.0,520.0,max_hold,20800
121,trade_0121_2020-01-17_0920_B.csv,2020-01-17 09:15:00,bearish,2020-01-17 09:20:00,181.0,12342.15,2020-01-23,12500,pe,2020-01-17 09:50:00,166.7,max_hold,30,-14.3,-930.0,4.05,2.24,2020-01-17 09:37:00,15.15,8.37,2020-01-17 09:47:00,263.0,-14.3,-930.0,max_hold,-14.3,-930.0,max_hold,-14.3,-930.0,max_hold,-14.3,-930.0,max_hold,-37180
122,trade_0122_2020-01-17_1005_B.csv,2020-01-17 10:00:00,bullish,2020-01-17 10:05:00,192.25,12371.4,2020-01-23,12200,ce,2020-01-17 10:35:00,189.65,max_hold,30,-2.6,-169.0,1.25,0.65,2020-01-17 10:11:00,8.4,4.37,2020-01-17 10:18:00,81.0,-2.6,-169.0,max_hold,-2.6,-169.0,max_hold,-2.6,-169.0,max_hold,-2.6,-169.0,max_hold,-6760
123,trade_0123_2020-01-17_1305_B.csv,2020-01-17 13:00:00,bullish,2020-01-17 13:05:00,180.7,12365.7,2020-01-23,12200,ce,2020-01-17 13:36:00,179.6,max_hold,31,-1.1,-72.0,0.0,0.0,,7.05,3.9,2020-01-17 13:17:00,0.0,-1.1,-71.0,max_hold,-1.1,-71.0,max_hold,-1.1,-71.0,max_hold,-1.1,-71.0,max_hold,-2860
127,trade_0127_2020-01-24_0935_B.csv,2020-01-24 09:30:00,bullish,2020-01-24 09:35:00,171.75,12191.4,2020-01-30,12050,ce,2020-01-24 09:42:00,188.93,profit_target,7,17.18,1117.0,24.2,14.09,2020-01-24 09:42:00,0.0,0.0,,1573.0,17.18,1116.0,profit_target,17.18,1116.0,profit_target,17.18,1116.0,profit_target,17.18,1116.0,profit_target,44668
145,trade_0145_2020-02-28_0920_B.csv,2020-02-28 09:15:00,bearish,2020-02-28 09:20:00,211.0,11351.1,2020-03-05,11500,pe,2020-02-28 09:26:00,232.1,profit_target,6,21.1,1372.0,22.95,10.88,2020-02-28 09:26:00,3.95,1.87,2020-02-28 09:20:00,1492.0,21.1,1372.0,profit_target,21.1,1372.0,profit_target,21.1,1372.0,profit_target,21.1,1372.0,profit_target,54860
146,trade_0146_2020-02-28_1420_B.csv,2020-02-28 14:15:00,bearish,2020-02-28 14:20:00,230.95,11259.25,2020-03-05,11400,pe,2020-02-28 14:50:00,254.05,profit_target,30,23.1,1502.0,22.45,9.72,2020-02-28 14:50:00,4.5,1.95,2020-02-28 14:35:00,1459.0,23.1,1501.0,profit_target,23.1,1501.0,profit_target,23.1,1501.0,profit_target,23.1,1501.0,profit_target,60060
346,trade_0346_2021-06-11_1410_B.csv,2021-06-11 14:05:00,bullish,2021-06-11 14:10:00,199.25,15806.2,2021-06-17,15650,ce,2021-06-11 14:40:00,190.0,max_hold,30,-9.25,-601.0,0.45,0.23,2021-06-11 14:11:00,14.75,7.4,2021-06-11 14:36:00,29.0,-9.25,-601.0,max_hold,-9.25,-601.0,max_hold,-9.25,-601.0,max_hold,-9.25,-601.0,max_hold,-24050
353,trade_0353_2021-06-25_0920_B.csv,2021-06-25 09:15:00,bullish,2021-06-25 09:20:00,225.8,15822.1,2021-07-01,15650,ce,2021-06-25 09:50:00,213.5,max_hold,30,-12.3,-800.0,3.9,1.73,2021-06-25 09:37:00,18.8,8.33,2021-06-25 09:22:00,254.0,-12.3,-800.0,max_hold,-12.3,-800.0,max_hold,-12.3,-800.0,max_hold,-12.3,-800.0,max_hold,-31980
